City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,edinburgh of the seven seas,-37.0676,-12.3116,13.07,67,10,4.24,SH,1702843642
84,altamira,-3.2033,-52.2064,27.2,77,80,2.47,BR,1702843643
85,fortuna,40.5982,-124.1573,11.07,96,40,6.69,US,1702843643
86,yaren,-0.5472,166.916,28.79,78,98,7.86,NR,1702843644
87,west island,-12.1568,96.8225,25.99,78,41,3.09,CC,1702843644
88,salinopolis,-0.6136,-47.3561,29.22,65,35,4.21,BR,1702843645
89,kadugli,11.0167,29.7167,26.34,28,85,3.36,SD,1702843645
90,garden city,42.3256,-83.331,8.83,95,100,4.12,US,1702843646
91,santa teresa del tuy,10.2341,-66.6631,29.18,64,100,1.15,VE,1702843646
92,afaahiti,-17.75,-149.2833,28.93,84,100,6.57,PF,1702843647
93,quellon,-43.1167,-73.6167,10.82,72,67,2.26,CL,1702843377
94,puerto baquerizo moreno,-0.9,-89.6,29.55,66,40,4.12,EC,1702843516
95,lompoc,34.6391,-120.4579,22.74,42,0,0.0,US,1702843648
96,pingyi,35.5006,117.6308,-4.73,30,100,1.24,CN,1702843648
97,stabat,3.761,98.4513,23.0,99,98,1.25,ID,1702843649
98,nova vicosa,-17.8919,-39.3719,27.25,70,40,4.42,BR,1702843649
99,fuglafjordur,62.244,-6.814,8.26,83,9,11.34,FO,1702843649
100,soc trang,9.6033,105.98,25.39,77,97,5.2,VN,1702843489
101,constantia,44.1833,28.65,3.38,72,96,6.03,RO,1702843650
102,papatowai,-46.5619,169.4708,12.43,66,4,2.02,NZ,1702843650
103,sholokhovskiy,48.2807,41.0459,-0.25,97,100,7.84,RU,1702843651
104,badger,64.8,-147.5333,-11.86,83,100,3.09,US,1702843651
105,puerto ayora,-0.7393,-90.3518,29.98,88,48,3.58,EC,1702843652
106,cole harbour,44.6724,-63.4751,4.84,84,100,1.79,CA,1702843494
107,khvoynaya,58.9,34.5333,-0.83,90,99,5.2,RU,1702843653
108,bel ombre,-4.6167,55.4167,28.38,75,51,7.29,SC,1702843653
109,talnakh,69.4865,88.3972,-16.37,79,100,7.5,RU,1702843653
110,longboat key,27.4125,-82.659,21.11,54,40,7.72,US,1702843650
111,shalqar,47.8333,59.6,-3.48,97,100,2.47,KZ,1702843654
112,utrik,11.2278,169.8474,26.57,82,100,11.73,MH,1702843655
113,aromashevo,56.8602,68.6375,-10.95,92,100,6.75,RU,1702843655
114,olonkinbyen,70.9221,-8.7187,-1.81,72,100,2.44,SJ,1702843655
115,whitehorse,60.7161,-135.0538,-8.37,95,83,3.63,CA,1702843656
116,east london,-33.0153,27.9116,22.41,89,40,3.88,ZA,1702843656
117,port hedland,-20.3167,118.5667,25.03,78,5,6.17,AU,1702843656
118,san patricio,28.017,-97.5169,20.4,33,3,0.44,US,1702843573
119,dosso,13.049,3.1937,23.99,13,99,4.16,NE,1702843657
120,chernyshevskiy,63.0128,112.4714,-40.72,100,49,0.79,RU,1702843657
121,port mathurin,-19.6833,63.4167,26.54,78,100,6.01,MU,1702843658
122,marsh harbour,26.5412,-77.0636,24.38,86,72,13.8,BS,1702843658
123,smithers,54.7804,-127.1743,-1.42,81,100,0.32,CA,1702843658
124,berdsk,54.7551,83.0967,-31.9,97,16,2.45,RU,1702843659
125,alice springs,-23.7,133.8833,18.75,34,0,0.0,AU,1702843659
126,ust-nera,64.5667,143.2,-35.01,100,99,0.91,RU,1702843660
127,nar'yan-mar,67.6713,53.087,-14.38,89,93,8.94,RU,1702843660
128,barro alto,-11.7608,-41.9117,32.54,27,37,2.52,BR,1702843660
129,salekhard,66.53,66.6019,-15.02,95,100,5.34,RU,1702843661
130,ulsteinvik,62.3432,5.8487,9.62,95,100,7.15,NO,1702843661
131,dryden,49.7833,-92.7503,-2.48,81,100,4.68,CA,1702843662
